timestamp,Laser/Radar,NIS,px,py,vx,vy,yaw,yawd,px_act,py_act,vx_act,vy_act,yaw_act,yawd_act
1477010444750000,R,4.48633,9.66071,1.11679,5.14253,0.743954,0.14367,0.111506,9.61255,1.25524,5.00656,1.08873,0.214126,0.240414
1477010444800000,L,3.30478,9.92937,1.24427,5.12135,0.984969,0.190006,0.159449,9.86254,1.31118,4.98922,1.14794,0.226147,0.246611
1477010444850000,R,4.73071,10.1815,1.33222,5.07376,1.11585,0.21648,0.18269,10.1117,1.37011,4.97074,1.20841,0.238478,0.252769
1477010444900000,L,1.44659,10.4083,1.41544,5.02472,1.22473,0.239079,0.199166,10.3598,1.4321,4.95106,1.2701,0.251116,0.258887
1477010444950000,R,4.50837,10.6463,1.50119,4.95686,1.3334,0.262782,0.218609,10.6069,1.49721,4.93014,1.33298,0.26406,0.264964
1477010445000000,L,1.47352,10.875,1.53713,4.93661,1.31693,0.260698,0.203861,10.853,1.56549,4.90794,1.39701,0.277309,0.271
1477010445050000,R,1.59743,11.1373,1.5887,4.95064,1.3293,0.262323,0.192896,11.0979,1.637,4.8844,1.46213,0.290859,0.276993
1477010445100000,L,1.61202,11.4127,1.6369,4.97582,1.32847,0.2609,0.179099,11.3416,1.71179,4.85948,1.52832,0.304708,0.282942
1477010445150000,R,1.13285,11.6472,1.69697,4.93921,1.36056,0.268794,0.179478,11.584,1.78992,4.83313,1.59551,0.318855,0.288846
1477010445200000,L,0.526158,11.8788,1.76364,4.91184,1.40227,0.27809,0.180244,11.8251,1.87144,4.80531,1.66366,0.333298,0.294705
1477010445250000,R,1.20657,12.1304,1.85148,4.91189,1.48069,0.292787,0.185401,12.0647,1.95639,4.77598,1.73273,0.348033,0.300517
1477010445300000,L,0.754349,12.3735,1.88344,4.91314,1.42958,0.283153,0.163286,12.3029,2.04482,4.74508,1.80265,0.363059,0.306282
1477010445350000,R,0.94443,12.626,1.9434,4.92836,1.43709,0.283728,0.152569,12.5394,2.13677,4.71257,1.87338,0.378373,0.311998
1477010445400000,L,3.61088,12.8277,2.07751,4.84365,1.62243,0.323214,0.190821,12.7743,2.23227,4.67842,1.94485,0.393973,0.317665
1477010445450000,R,3.63696,13.0874,2.17941,4.86325,1.70225,0.336696,0.191628,13.0075,2.33137,4.64258,2.01701,0.409856,0.323282
1477010445500000,L,2.73076,13.2907,2.32087,4.77515,1.88025,0.375114,0.226129,13.2388,2.43409,4.605,2.08981,0.42602,0.328848
1477010445550000,R,11.0937,13.4786,2.46859,4.63711,2.06914,0.419699,0.271258,13.4682,2.54047,4.56565,2.16317,0.442462,0.334362
1477010445600000,L,0.719975,13.7246,2.58378,4.61987,2.15069,0.435694,0.273626,13.6955,2.65053,4.52448,2.23703,0.459181,0.339823
1477010445650000,R,0.280293,13.9454,2.69859,4.56843,2.23134,0.454345,0.281093,13.9208,2.7643,4.48147,2.31134,0.476172,0.34523
1477010445700000,L,0.596673,14.1714,2.85049,4.51016,2.3776,0.485142,0.300228,14.1439,2.88179,4.43656,2.38601,0.493433,0.350583
1477010445750000,R,1.53187,14.4169,2.95529,4.53476,2.3947,0.485856,0.277806,14.3646,3.00303,4.38974,2.46099,0.510962,0.355881
1477010445800000,L,2.27298,14.6258,3.03409,4.50696,2.37408,0.484824,0.261602,14.583,3.12802,4.34097,2.5362,0.528756,0.361122
1477010445850000,R,3.98627,14.8535,3.1805,4.483,2.47853,0.505047,0.26543,14.7989,3.25679,4.29021,2.61157,0.546812,0.366307
1477010445900000,L,1.28679,15.0574,3.37047,4.38336,2.67689,0.548245,0.299709,15.0122,3.38932,4.23744,2.68703,0.565128,0.371433
1477010445950000,R,2.4923,15.2693,3.53391,4.30223,2.80726,0.57814,0.319662,15.2228,3.52563,4.18263,2.76249,0.583699,0.376501
1477010446000000,L,0.827191,15.4794,3.71981,4.21983,2.96433,0.612386,0.340044,15.4306,3.66572,4.12575,2.83789,0.602525,0.381509
1477010446050000,R,0.90887,15.6923,3.85313,4.18679,3.00138,0.621959,0.331412,15.6355,3.80957,4.06678,2.91315,0.6216,0.386458
1477010446100000,L,0.224431,15.9121,3.99857,4.15704,3.05408,0.633622,0.325495,15.8375,3.95719,4.00571,2.98817,0.640923,0.391345
1477010446150000,R,1.74131,16.1097,4.16435,4.05832,3.15982,0.661557,0.345708,16.0363,4.10854,3.94251,3.0629,0.66049,0.39617
1477010446200000,L,0.491962,16.3058,4.35786,3.97051,3.29522,0.692722,0.36095,16.2319,4.26363,3.87716,3.13723,0.680299,0.400933
1477010446250000,R,0.667284,16.5154,4.51908,3.93786,3.34938,0.704819,0.352438,16.4242,4.42242,3.80966,3.21109,0.700345,0.405632
1477010446300000,L,0.441491,16.6946,4.69144,3.85321,3.4303,0.7274,0.358556,16.613,4.5849,3.74,3.28438,0.720627,0.410268
1477010446350000,R,4.90356,16.8502,4.89407,3.65437,3.59194,0.776784,0.410709,16.7983,4.75103,3.66817,3.35704,0.74114,0.414838
1477010446400000,L,0.605618,17.0152,5.11567,3.5243,3.74139,0.815267,0.430434,16.9799,4.92077,3.59416,3.42897,0.761882,0.419343
1477010446450000,R,1.87053,17.1849,5.29382,3.42704,3.80761,0.837953,0.437002,17.1579,5.09409,3.51797,3.50008,0.782849,0.423782
1477010446500000,L,0.257984,17.3469,5.47705,3.33941,3.86923,0.858764,0.436405,17.3319,5.27094,3.4396,3.57028,0.804038,0.428154
1477010446550000,R,3.56686,17.5021,5.65856,3.22476,3.93251,0.883964,0.447795,17.5019,5.45128,3.35907,3.63949,0.825446,0.432459
1477010446600000,L,2.15204,17.6992,5.78727,3.24657,3.87864,0.873876,0.412671,17.6679,5.63506,3.27637,3.70762,0.847069,0.436695
1477010446650000,R,1.52479,17.8395,5.99603,3.08569,3.98797,0.912268,0.443247,17.8297,5.82221,3.19151,3.77458,0.868904,0.440862
1477010446700000,L,0.669545,18.0167,6.18007,3.0487,4.02018,0.921973,0.429105,17.9872,6.01269,3.10453,3.84027,0.890947,0.444959
1477010446750000,R,0.605665,18.1627,6.39278,2.94104,4.10444,0.949049,0.436938,18.1402,6.20641,3.01542,3.90462,0.913195,0.448987
1477010446800000,L,0.393426,18.2867,6.62146,2.80143,4.20788,0.983423,0.45068,18.2888,6.40332,2.92421,3.96753,0.935644,0.452943
1477010446850000,R,0.299326,18.4154,6.84114,2.66971,4.28967,1.0141,0.463949,18.4328,6.60333,2.83093,4.0289,0.958291,0.456828
1477010446900000,L,2.984,18.5672,6.98599,2.65394,4.24052,1.01158,0.437815,18.572,6.80638,2.7356,4.08867,0.981133,0.46064
1477010446950000,R,0.436614,18.7131,7.19487,2.60967,4.2797,1.02322,0.420709,18.7064,7.01237,2.63825,4.14672,1.00417,0.46438
1477010447000000,L,4.64042,18.9127,7.3348,2.68414,4.19935,1.00206,0.375327,18.8359,7.22122,2.53893,4.20299,1.02738,0.468047
1477010447050000,R,4.67994,18.9966,7.55483,2.46861,4.29321,1.04896,0.420996,18.9604,7.43283,2.43767,4.25737,1.05079,0.47164
1477010447100000,L,0.654499,19.0913,7.80085,2.31413,4.39454,1.0861,0.438219,19.0798,7.64712,2.3345,4.3098,1.07437,0.475158
1477010447150000,R,0.351196,19.2084,8.01496,2.23212,4.43291,1.10433,0.433331,19.1939,7.86397,2.22949,4.36017,1.09813,0.478601
1477010447200000,L,1.7823,19.2907,8.22629,2.09703,4.47227,1.13234,0.441361,19.3028,8.08329,2.12266,4.40842,1.12206,0.481969
1477010447250000,R,2.44913,19.3865,8.44343,2.01044,4.50507,1.15106,0.432945,19.4062,8.30497,2.01409,4.45445,1.14615,0.48526
1477010447300000,L,5.53942,19.4839,8.59967,1.95284,4.45633,1.15778,0.419692,19.5042,8.5289,1.90381,4.49819,1.17042,0.488475
1477010447350000,R,0.827004,19.5698,8.81911,1.82667,4.49665,1.18493,0.431941,19.5966,8.75494,1.7919,4.53956,1.19484,0.491613
1477010447400000,L,4.79648,19.7348,8.98796,1.89111,4.44301,1.16839,0.391502,19.6835,8.983,1.67841,4.57848,1.21942,0.494673
1477010447450000,R,1.08457,19.8026,9.21944,1.72198,4.50217,1.20549,0.420261,19.7645,9.21294,1.56341,4.61488,1.24416,0.497655
1477010447500000,L,2.67254,19.9372,9.4299,1.72401,4.50561,1.20535,0.397084,19.8398,9.44463,1.44697,4.64869,1.26904,0.500558
1477010447550000,R,3.05051,19.9769,9.66398,1.49542,4.56649,1.25433,0.444718,19.9093,9.67795,1.32916,4.67984,1.29407,0.503383
1477010447600000,L,0.439665,20.0689,9.88899,1.43085,4.59013,1.26862,0.43598,19.9728,9.91275,1.21005,4.70826,1.31923,0.506127
1477010447650000,R,6.70981,20.1262,10.1367,1.31693,4.64186,1.29435,0.435176,20.0303,10.1489,1.08972,4.73389,1.34454,0.508793
1477010447700000,L,0.356658,20.1784,10.3909,1.18485,4.69675,1.32368,0.442525,20.0818,10.3863,0.968259,4.75666,1.36998,0.511377
1477010447750000,R,3.153,20.1916,10.6323,0.951442,4.73624,1.37255,0.484508,20.1271,10.6247,0.845742,4.77652,1.39555,0.513881
1477010447800000,L,1.46797,20.2539,10.889,0.859099,4.77907,1.39293,0.479245,20.1663,10.864,0.722256,4.7934,1.42124,0.516304
1477010447850000,R,4.73493,20.2821,11.1419,0.726105,4.8141,1.4211,0.480388,20.1993,11.1041,0.597892,4.80727,1.44706,0.518645
1477010447900000,L,0.0425767,20.3177,11.3762,0.617409,4.82265,1.44347,0.478966,20.2261,11.3449,0.472738,4.81807,1.47299,0.520904
1477010447950000,R,11.1569,20.2621,11.6283,0.244862,4.84085,1.52026,0.562535,20.2466,11.5861,0.346889,4.82575,1.49904,0.523081
1477010448000000,L,4.50294,20.3352,11.8645,0.229352,4.84527,1.5235,0.536101,20.2608,11.8275,0.220439,4.83027,1.52519,0.525176
1477010448050000,R,3.61264,20.3593,12.0998,0.196111,4.84692,1.53036,0.497101,20.2687,12.0692,0.093487,4.83159,1.55145,0.527187
1477010448100000,L,0.896503,20.3501,12.3722,0.0356432,4.88143,1.56349,0.504015,20.2701,12.3108,-0.0338694,4.82968,1.57781,0.529115
1477010448150000,R,3.48525,20.2993,12.6133,-0.249897,4.86276,1.62214,0.560114,20.2652,12.5522,-0.161529,4.82451,1.60426,0.53096
1477010448200000,L,1.72147,20.3244,12.8521,-0.309699,4.85674,1.63448,0.543989,20.254,12.7933,-0.28939,4.81605,1.63081,0.532721
1477010448250000,R,2.1632,20.3095,13.087,-0.44595,4.83717,1.66273,0.549575,20.2363,13.0339,-0.417348,4.80428,1.65745,0.534397
1477010448300000,L,1.27675,20.2732,13.3046,-0.591439,4.79592,1.6935,0.554478,20.2122,13.2738,-0.545298,4.78918,1.68417,0.53599
1477010448350000,R,1.32353,20.2329,13.5407,-0.723051,4.77553,1.72106,0.550359,20.1818,13.5129,-0.673135,4.77072,1.71097,0.537498
1477010448400000,L,1.11885,20.2148,13.7923,-0.818986,4.77328,1.74072,0.541497,20.1449,13.7509,-0.800753,4.74892,1.73784,0.53892
1477010448450000,R,0.950048,20.157,14.0227,-0.995651,4.73161,1.7782,0.560203,20.1017,13.9878,-0.928043,4.72374,1.76479,0.540258
1477010448500000,L,0.244833,20.1043,14.2709,-1.12926,4.71539,1.80585,0.559039,20.0521,14.2233,-1.0549,4.69521,1.7918,0.54151
1477010448550000,R,1.43455,20.0316,14.5006,-1.27948,4.6733,1.83803,0.562575,19.9962,14.4573,-1.18121,4.66331,1.81888,0.542677
1477010448600000,L,1.23655,19.9269,14.7462,-1.4777,4.63635,1.87934,0.574793,19.934,14.6897,-1.30687,4.62805,1.84601,0.543759
1477010448650000,R,3.42783,19.8587,14.967,-1.55945,4.59666,1.89787,0.554351,19.8655,14.9202,-1.43177,4.58944,1.8732,0.544754
1477010448700000,L,2.1269,19.8247,15.1894,-1.6049,4.56205,1.90907,0.538642,19.7908,15.1486,-1.55581,4.54751,1.90044,0.545663
1477010448750000,R,8.0347,19.6911,15.4015,-1.93712,4.42789,1.98319,0.628164,19.7099,15.3749,-1.67887,4.50226,1.92772,0.546486
1477010448800000,L,3.83239,19.6553,15.6008,-1.96584,4.37061,1.99347,0.609122,19.6229,15.5989,-1.80085,4.45372,1.95504,0.547223
1477010448850000,R,1.43373,19.5576,15.8106,-2.08239,4.30661,2.02118,0.60391,19.5298,15.8203,-1.92164,4.40193,1.98241,0.547873
1477010448900000,L,0.0284896,19.4554,16.0212,-2.20301,4.24064,2.04992,0.602728,19.4307,16.039,-2.04114,4.3469,2.0098,0.548437
1477010448950000,R,1.86096,19.3514,16.2321,-2.27282,4.19903,2.06691,0.575031,19.3257,16.2549,-2.15925,4.28868,2.03722,0.548915
1477010449000000,L,1.05453,19.2395,16.4128,-2.38465,4.10201,2.09738,0.578552,19.2148,16.4679,-2.27586,4.22731,2.06467,0.549305
1477010449050000,R,0.323766,19.1184,16.6127,-2.50479,4.02558,2.12739,0.581352,19.0981,16.6777,-2.39087,4.16284,2.09213,0.549609
